#t0_Mstar=7.943282e+10 (N07Mbar=9.103781e+10) t0_sfr=2.790239e+00	1.00000000000000001988462483866e+30 t0_sfr=6.606934e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.139560e+10 2.934545 0.000000e+00	0.000000e+00 3.230507e+09
1.138250e+10 2.919253 0.000000e+00	0.000000e+00 3.245890e+09
1.136941e+10 2.904079 0.000000e+00	0.000000e+00 3.261368e+09
1.135631e+10 2.889029 0.000000e+00	0.000000e+00 3.276942e+09
1.134321e+10 2.874162 0.000000e+00	0.000000e+00 3.292612e+09
1.133011e+10 2.859408 0.000000e+00	0.000000e+00 3.308378e+09
1.131701e+10 2.844771 0.000000e+00	0.000000e+00 3.324242e+09
1.130391e+10 2.830311 0.000000e+00	0.000000e+00 3.340203e+09
1.129082e+10 2.815959 0.000000e+00	0.000000e+00 3.356263e+09
1.127772e+10 2.801715 0.000000e+00	0.000000e+00 3.372422e+09
1.126462e+10 2.787645 0.000000e+00	0.000000e+00 3.388681e+09
1.125152e+10 2.773679 0.000000e+00	0.000000e+00 3.405040e+09
1.123842e+10 2.759815 0.000000e+00	0.000000e+00 3.421499e+09
1.122532e+10 2.746113 0.000000e+00	0.000000e+00 3.438061e+09
1.121223e+10 2.732517 0.000000e+00	0.000000e+00 3.454724e+09
1.119913e+10 2.719020 0.000000e+00	0.000000e+00 3.471489e+09
1.118603e+10 2.705666 0.000000e+00	0.000000e+00 3.488359e+09
1.117293e+10 2.692426 0.000000e+00	0.000000e+00 3.505332e+09
1.115983e+10 2.679280 0.000000e+00	0.000000e+00 3.522409e+09
1.114673e+10 2.666259 0.000000e+00	0.000000e+00 3.539592e+09
1.113363e+10 2.653361 0.000000e+00	0.000000e+00 3.556881e+09
1.112054e+10 2.640553 0.000000e+00	0.000000e+00 3.574276e+09
1.110744e+10 2.627848 0.000000e+00	0.000000e+00 3.591779e+09
1.109434e+10 2.615278 0.000000e+00	0.000000e+00 3.609389e+09
1.108124e+10 2.602795 0.000000e+00	0.000000e+00 3.627108e+09
1.106814e+10 2.590398 0.000000e+00	0.000000e+00 3.644936e+09
1.105504e+10 2.578138 0.000000e+00	0.000000e+00 3.662875e+09
1.104195e+10 2.565967 0.000000e+00	0.000000e+00 3.680924e+09
1.102885e+10 2.553879 0.000000e+00	0.000000e+00 3.699084e+09
1.101575e+10 2.541902 0.000000e+00	0.000000e+00 3.717357e+09
1.100265e+10 2.530033 0.000000e+00	0.000000e+00 3.735742e+09
1.098955e+10 2.518242 0.000000e+00	0.000000e+00 3.754241e+09
1.097645e+10 2.506535 0.000000e+00	0.000000e+00 3.772854e+09
1.096336e+10 2.494955 0.000000e+00	0.000000e+00 3.791582e+09
1.095026e+10 2.483451 0.000000e+00	0.000000e+00 3.810426e+09
1.093716e+10 2.472022 6.939756e+06	0.000000e+00 3.829387e+09
1.092406e+10 2.460700 1.571498e+07	0.000000e+00 3.848464e+09
1.091096e+10 2.449472 2.821327e+07	0.000000e+00 3.867660e+09
1.089786e+10 2.438317 4.465960e+07	0.000000e+00 3.886975e+09
1.088477e+10 2.427236 6.523647e+07	0.000000e+00 3.906410e+09
1.087167e+10 2.416275 9.009310e+07	0.000000e+00 3.925964e+09
1.085857e+10 2.405383 1.193479e+08	0.000000e+00 3.945640e+09
1.084547e+10 2.394561 1.530942e+08	0.000000e+00 3.965439e+09
1.083237e+10 2.383828 1.914053e+08	0.000000e+00 3.985359e+09
1.081927e+10 2.373191 2.343361e+08	0.000000e+00 4.005404e+09
1.080617e+10 2.362621 2.819240e+08	0.000000e+00 4.025573e+09
1.079308e+10 2.352116 3.341921e+08	0.000000e+00 4.045868e+09
1.077998e+10 2.341713 3.911539e+08	0.000000e+00 4.066288e+09
1.076688e+10 2.331385 4.528098e+08	0.000000e+00 4.086836e+09
1.075378e+10 2.321121 5.191497e+08	0.000000e+00 4.107511e+09
1.074068e+10 2.310922 5.901546e+08	0.000000e+00 4.128316e+09
1.072758e+10 2.300829 6.658029e+08	0.000000e+00 4.149249e+09
1.071449e+10 2.290797 7.460607e+08	0.000000e+00 4.170314e+09
1.070139e+10 2.280826 8.308884e+08	0.000000e+00 4.191510e+09
1.068829e+10 2.270927 9.202426e+08	0.000000e+00 4.212838e+09
1.067519e+10 2.261119 1.014078e+09	0.000000e+00 4.234299e+09
1.066209e+10 2.251370 1.112340e+09	0.000000e+00 4.255894e+09
1.064899e+10 2.241680 1.214971e+09	0.000000e+00 4.277624e+09
1.063590e+10 2.232064 1.321912e+09	0.000000e+00 4.299490e+09
1.062280e+10 2.222530 1.433105e+09	0.000000e+00 4.321493e+09
1.060970e+10 2.213052 1.548481e+09	0.000000e+00 4.343634e+09
1.059660e+10 2.203629 1.667972e+09	0.000000e+00 4.365914e+09
1.058350e+10 2.194282 1.791511e+09	0.000000e+00 4.388333e+09
1.057040e+10 2.185010 1.919030e+09	0.000000e+00 4.410893e+09
1.055731e+10 2.175791 2.050454e+09	0.000000e+00 4.433594e+09
1.054421e+10 2.166626 2.185709e+09	0.000000e+00 4.456438e+09
1.053111e+10 2.157534 2.324724e+09	0.000000e+00 4.479426e+09
1.051801e+10 2.148512 2.467427e+09	0.000000e+00 4.502558e+09
1.050491e+10 2.139542 2.613738e+09	0.000000e+00 4.525836e+09
1.049181e+10 2.130623 2.763582e+09	0.000000e+00 4.549261e+09
1.047872e+10 2.121773 2.916885e+09	0.000000e+00 4.572833e+09
1.046562e+10 2.112992 3.073573e+09	0.000000e+00 4.596554e+09
1.045252e+10 2.104260 3.233568e+09	0.000000e+00 4.620425e+09
1.043942e+10 2.095577 3.396793e+09	0.000000e+00 4.644447e+09
1.042632e+10 2.086957 3.563174e+09	0.000000e+00 4.668620e+09
1.041322e+10 2.078407 3.732638e+09	0.000000e+00 4.692946e+09
1.040012e+10 2.069904 3.905110e+09	2.148530e+06 4.717426e+09
1.038703e+10 2.061447 4.080511e+09	3.358727e+06 4.742062e+09
1.037393e+10 2.053045 4.258769e+09	5.091889e+06 4.766853e+09
1.036083e+10 2.044717 4.439816e+09	7.517153e+06 4.791802e+09
1.034773e+10 2.036433 4.623576e+09	1.084013e+07 4.816909e+09
1.033463e+10 2.028194 4.809975e+09	1.530773e+07 4.842176e+09
1.032153e+10 2.020000 4.998940e+09	2.121317e+07 4.998940e+09
1.030844e+10 2.011884 5.190409e+09	2.890113e+07 5.190409e+09
1.029534e+10 2.003811 5.384309e+09	3.877322e+07 5.384309e+09
1.028224e+10 1.995781 5.580569e+09	5.103152e+07 5.580569e+09
1.026914e+10 1.987794 5.779119e+09	6.579547e+07 5.779119e+09
1.025604e+10 1.979872 5.979897e+09	8.335778e+07 5.979897e+09
1.024294e+10 1.972002 6.182837e+09	1.039837e+08 6.182837e+09
1.022985e+10 1.964173 6.387872e+09	1.279295e+08 6.387872e+09
1.021675e+10 1.956386 6.594935e+09	1.554422e+08 6.594935e+09
1.020365e+10 1.948649 6.803965e+09	1.867592e+08 6.803965e+09
1.019055e+10 1.940974 7.014903e+09	2.221076e+08 7.014903e+09
1.017745e+10 1.933338 7.227685e+09	2.616984e+08 7.227685e+09
1.016435e+10 1.925742 7.442249e+09	3.057284e+08 7.442249e+09
1.015126e+10 1.918185 7.658532e+09	3.543789e+08 7.658532e+09
1.013816e+10 1.910694 7.876485e+09	4.078219e+08 7.876485e+09
1.012506e+10 1.903244 8.096048e+09	4.662083e+08 8.096048e+09
1.011196e+10 1.895832 8.317161e+09	5.296723e+08 8.317161e+09
1.009886e+10 1.888458 8.539767e+09	5.983322e+08 8.539767e+09
1.008576e+10 1.881133 8.763814e+09	6.722931e+08 8.763814e+09
1.007266e+10 1.873862 8.989253e+09	7.516470e+08 8.989253e+09
1.005957e+10 1.866627 9.216026e+09	8.364645e+08 9.216026e+09
