#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.176236e+10 3.432582 0.000000e+00	0.000000e+00 7.894333e+08
1.174926e+10 3.412087 0.000000e+00	0.000000e+00 7.921800e+08
1.173616e+10 3.391866 0.000000e+00	0.000000e+00 7.949420e+08
1.172306e+10 3.371830 0.000000e+00	0.000000e+00 7.977193e+08
1.170996e+10 3.352044 0.000000e+00	0.000000e+00 8.005118e+08
1.169687e+10 3.332470 0.000000e+00	0.000000e+00 8.033197e+08
1.168377e+10 3.313083 0.000000e+00	0.000000e+00 8.061429e+08
1.167067e+10 3.293956 0.000000e+00	0.000000e+00 8.089814e+08
1.165757e+10 3.274998 0.000000e+00	0.000000e+00 8.118354e+08
1.164447e+10 3.256256 0.000000e+00	0.000000e+00 8.147048e+08
1.163137e+10 3.237724 0.000000e+00	0.000000e+00 8.175896e+08
1.161828e+10 3.219353 0.000000e+00	0.000000e+00 8.204899e+08
1.160518e+10 3.201221 0.000000e+00	0.000000e+00 8.234057e+08
1.159208e+10 3.183256 0.000000e+00	0.000000e+00 8.263370e+08
1.157898e+10 3.165461 0.000000e+00	0.000000e+00 8.292839e+08
1.156588e+10 3.147889 0.000000e+00	0.000000e+00 8.322465e+08
1.155278e+10 3.130466 0.000000e+00	0.000000e+00 8.352247e+08
1.153968e+10 3.113227 0.000000e+00	0.000000e+00 8.382186e+08
1.152659e+10 3.096179 0.000000e+00	0.000000e+00 8.412283e+08
1.151349e+10 3.079272 0.000000e+00	0.000000e+00 8.442538e+08
1.150039e+10 3.062561 0.000000e+00	0.000000e+00 8.472950e+08
1.148729e+10 3.046014 0.000000e+00	0.000000e+00 8.503522e+08
1.147419e+10 3.029600 0.000000e+00	0.000000e+00 8.534253e+08
1.146109e+10 3.013389 0.000000e+00	0.000000e+00 8.565143e+08
1.144800e+10 2.997320 0.000000e+00	0.000000e+00 8.596194e+08
1.143490e+10 2.981379 0.000000e+00	0.000000e+00 8.627406e+08
1.142180e+10 2.965641 0.000000e+00	0.000000e+00 8.658778e+08
1.140870e+10 2.950030 0.000000e+00	0.000000e+00 8.690313e+08
1.139560e+10 2.934545 0.000000e+00	0.000000e+00 8.722010e+08
1.138250e+10 2.919253 0.000000e+00	0.000000e+00 8.753870e+08
1.136941e+10 2.904079 0.000000e+00	0.000000e+00 8.785893e+08
1.135631e+10 2.889029 0.000000e+00	0.000000e+00 8.818080e+08
1.134321e+10 2.874162 0.000000e+00	0.000000e+00 8.850432e+08
1.133011e+10 2.859408 0.000000e+00	0.000000e+00 8.882949e+08
