#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.174926e+10 3.412087 0.000000e+00	0.000000e+00 5.148377e+06
1.173616e+10 3.391866 0.000000e+00	0.000000e+00 5.150329e+06
1.172306e+10 3.371830 0.000000e+00	0.000000e+00 5.152331e+06
1.170996e+10 3.352044 0.000000e+00	0.000000e+00 5.154382e+06
1.169687e+10 3.332470 0.000000e+00	0.000000e+00 5.156483e+06
1.168377e+10 3.313083 0.000000e+00	0.000000e+00 5.158631e+06
1.167067e+10 3.293956 0.000000e+00	0.000000e+00 5.160827e+06
1.165757e+10 3.274998 0.000000e+00	0.000000e+00 5.163070e+06
1.164447e+10 3.256256 0.000000e+00	0.000000e+00 5.165359e+06
1.163137e+10 3.237724 0.000000e+00	0.000000e+00 5.167693e+06
1.161828e+10 3.219353 0.000000e+00	0.000000e+00 5.170072e+06
1.160518e+10 3.201221 0.000000e+00	0.000000e+00 5.172495e+06
1.159208e+10 3.183256 0.000000e+00	0.000000e+00 5.174961e+06
1.157898e+10 3.165461 0.000000e+00	0.000000e+00 5.177470e+06
1.156588e+10 3.147889 0.000000e+00	0.000000e+00 5.180022e+06
1.155278e+10 3.130466 0.000000e+00	0.000000e+00 5.182615e+06
1.153968e+10 3.113227 0.000000e+00	0.000000e+00 5.185249e+06
1.152659e+10 3.096179 0.000000e+00	0.000000e+00 5.187924e+06
1.151349e+10 3.079272 0.000000e+00	0.000000e+00 5.190639e+06
1.150039e+10 3.062561 0.000000e+00	0.000000e+00 5.193393e+06
1.148729e+10 3.046014 0.000000e+00	0.000000e+00 5.196187e+06
1.147419e+10 3.029600 0.000000e+00	0.000000e+00 5.199019e+06
1.146109e+10 3.013389 0.000000e+00	0.000000e+00 5.201890e+06
1.144800e+10 2.997320 0.000000e+00	0.000000e+00 5.204798e+06
1.143490e+10 2.981379 0.000000e+00	0.000000e+00 5.207743e+06
1.142180e+10 2.965641 0.000000e+00	0.000000e+00 5.210725e+06
1.140870e+10 2.950030 0.000000e+00	0.000000e+00 5.213744e+06
1.139560e+10 2.934545 0.000000e+00	0.000000e+00 5.216799e+06
1.138250e+10 2.919253 0.000000e+00	0.000000e+00 5.219889e+06
